SampleDate,WaterYear,WaterYearType,StationCode,Region,CommonName,n
6/27/2011,2011,W,BL5,Below Lisbon,Bigscale Logperch,2
6/27/2011,2011,W,BL5,Below Lisbon,Inland Silverside,2
6/27/2011,2011,W,BL5,Below Lisbon,Sacramento Pikeminnow,2
6/27/2011,2011,W,BL5,Below Lisbon,Splittail,2
6/27/2011,2011,W,BL5,Below Lisbon,Striped Bass,2
6/27/2011,2011,W,BL5,Below Lisbon,Tule Perch,2
10/22/2015,2016,BN,BL6,Below Lisbon,Inland Silverside,2
10/22/2015,2016,BN,BL6,Below Lisbon,Prickly Sculpin,2
10/22/2015,2016,BN,BL6,Below Lisbon,Shimofuri Goby,2
10/22/2015,2016,BN,BL6,Below Lisbon,Western Mosquitofish,2
2/3/2016,2016,BN,BL1,Below Lisbon,Black Crappie,2
2/3/2016,2016,BN,BL1,Below Lisbon,Bluegill,2
2/3/2016,2016,BN,BL1,Below Lisbon,Inland Silverside,2
2/3/2016,2016,BN,BL1,Below Lisbon,Largemouth Bass,2
2/3/2016,2016,BN,BL1,Below Lisbon,Western Mosquitofish,2
3/29/2016,2016,BN,BL5,Below Lisbon,Inland Silverside,2
4/27/2017,2017,W,BL5,Below Lisbon,Chinook Salmon,2
7/18/2017,2017,W,AL1,Above Lisbon,Bigscale Logperch,2
7/18/2017,2017,W,AL1,Above Lisbon,Black Crappie,2
7/18/2017,2017,W,AL1,Above Lisbon,Bluegill,2
7/18/2017,2017,W,AL1,Above Lisbon,Golden Shiner,2
7/18/2017,2017,W,AL1,Above Lisbon,Inland Silverside,2
7/18/2017,2017,W,AL1,Above Lisbon,Largemouth Bass,2
7/18/2017,2017,W,AL1,Above Lisbon,Redear Sunfish,2
7/18/2017,2017,W,AL1,Above Lisbon,Sacramento Pikeminnow,2
7/18/2017,2017,W,AL1,Above Lisbon,Sacramento Sucker,2
7/18/2017,2017,W,AL1,Above Lisbon,Striped Bass,2
7/18/2017,2017,W,AL1,Above Lisbon,Threadfin Shad,2
7/18/2017,2017,W,AL1,Above Lisbon,Warmouth,2
7/18/2017,2017,W,AL1,Above Lisbon,Western Mosquitofish,2
